"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042110","T cell activation","159/2027","464/18670",1.66256887850982e-42,1.00568791461059e-38,8.15708793972031e-39,"TREML2/RIPOR2/CCR6/DOCK8/SLAMF6/MYB/BTLA/PTPN6/TNFSF8/FUT7/TCF7/NLRC3/GPR18/IL7R/CTLA4/TNFSF4/APBB1IP/RHOH/ITK/TESPA1/FANCD2/CARD11/PTPRC/IL18/RASAL3/CORO1A/PTPN22/ICOS/IFNG/CSK/DOCK2/RAC2/TMEM131L/PIK3CD/WAS/KLRK1/TBX21/CD3G/JAML/RUNX3/CR1/ZAP70/CD2/PDCD1/TMIGD2/TNFSF9/SASH3/CD3E/BTN3A1/CCDC88B/FOXN1/CD40LG/CD27/SIRPG/LCP1/NFATC2/PAG1/CAMK4/BCL11B/LY9/IL12RB1/CD6/CD86/CD5/CLECL1/PTPN11/LAT/ITPKB/CD151/TIGIT/CD83/BTN2A2/EBI3/VAV1/RASGRP1/GJA1/XCL1/STAT3/CD70/LCK/NCKAP1L/GRAP2/TNFSF11/IL6/SPN/CD8B/SIT1/YES1/ICAM1/LILRB1/RAC1/FANCA/CASP8/GPR183/SH3RF1/TNFRSF13C/CD3D/ITGAL/IL10/FZD8/CD28/THEMIS/ABL1/BATF/PRKAR1A/CCR7/RUNX2/PYCARD/EOMES/ADAM8/GATA3/PRNP/VNN1/SYK/FOXP3/CD4/SLA2/CASP3/HAVCR2/ERBB2/CD1C/DUSP3/CD8A/F2RL1/CCR2/SOCS6/HLA-DPB1/SIRPB1/EFNB2/CCR9/BCL3/IL2RA/TNFAIP8L2/FZD5/VSIR/ZBTB1/TCIRG1/CD300A/LAG3/LAX1/PIK3CG/MALT1/AIRE/CD47/ADA/FAM49B/IL7/B2M/CD160/NCSTN/ANXA1/IL23A/CLPTM1/SDC4/PLA2G2D/CDK6/FCGR2B/NOD2/IL1RL2",159
"GO:0007159","leukocyte cell-cell adhesion","119/2027","337/18670",2.17051788315415e-33,6.56473133759972e-30,5.32462308072709e-30,"RIPOR2/SELL/DOCK8/MYB/BTLA/PTPN6/IL7R/CTLA4/TNFSF4/CLEC4M/SEMA4D/TESPA1/CARD11/PTPRC/IL18/ITGB7/RASAL3/CORO1A/TNF/PTPN22/ICOS/IFNG/CSK/SELPLG/RAC2/TMEM131L/KLRK1/TBX21/STK10/RUNX3/ZAP70/PDCD1/TMIGD2/TNFSF9/SASH3/CD3E/CCDC88B/CD40LG/CD27/SIRPG/PAG1/IL12RB1/CD6/CD86/CD5/CLECL1/ITGA4/PTPN11/ITPKB/TIGIT/CD83/BTN2A2/SKAP1/ASS1/EBI3/VAV1/RASGRP1/XCL1/CD70/LCK/ITGB1/NCKAP1L/GRAP2/TNFSF11/IL6/SPN/YES1/ICAM1/LILRB1/RAC1/TNFRSF13C/ITGAL/IL10/ADD2/CD28/ITGB2/PRKAR1A/CCR7/PYCARD/ADAM8/GATA3/PRNP/VNN1/SYK/FOXP3/CD4/FERMT3/CASP3/HAVCR2/ERBB2/DUSP3/CCR2/SOCS6/HLA-DPB1/SIRPB1/EFNB2/ADTRP/IL2RA/TNFAIP8L2/VSIR/ZBTB1/CD300A/LAG3/LAX1/PTAFR/MALT1/CD47/ADA/FAM49B/IL7/CD160/ANXA1/IL23A/SDC4/CCL25/PLA2G2D/FCGR2B/NOD2/IL1RL2",119
"GO:0030098","lymphocyte differentiation","122/2027","353/18670",3.63654386932104e-33,7.33248462184099e-30,5.94734420172118e-30,"CCR6/SLAMF6/CD79B/MYB/BTK/INPP5D/PTPN6/IKZF1/TNFSF8/FUT7/TCF7/CD19/POU2F2/GPR18/IL7R/PLCG2/CTLA4/TNFSF4/TOX/RHOH/PTK2B/ITK/TESPA1/FANCD2/CARD11/PTPRC/IL18/FCRL3/PTPN22/MS4A1/IFNG/DOCK2/TMEM131L/PIK3CD/TBX21/CD3G/LYL1/RUNX3/CR1/ZAP70/CD2/DOCK10/TNFSF9/SASH3/CD3E/FOXN1/CD40LG/CD27/NFATC2/CAMK4/BCL11B/LY9/BLNK/IL12RB1/CD86/AICDA/ITGA4/ITPKB/CD83/BTN2A2/ATM/CR2/VAV1/RASGRP1/STAT3/DCLRE1C/LCK/ITGB1/NCKAP1L/IL6/SLAMF8/SPN/IKZF3/FANCA/GPR183/SH3RF1/CD79A/CD3D/TCF3/IL10/HDAC9/FZD8/CD28/THEMIS/ABL1/BATF/CCR7/RUNX2/EOMES/ADAM8/GATA3/VNN1/SYK/FOXP3/CD4/C17orf99/NFAM1/ERBB2/CD8A/CCR2/CCR9/BCL3/IL2RA/FZD5/VSIR/ZBTB1/TCIRG1/SPI1/LAG3/HDAC4/MALT1/AIRE/ADA/IL7/B2M/ANXA1/IL23A/CLPTM1/PLA2G2D/CDK6/FCGR2B/IL1RL2",122
"GO:0050863","regulation of T cell activation","113/2027","314/18670",1.28789319257436e-32,1.94761648047058e-29,1.57970267647081e-29,"RIPOR2/DOCK8/MYB/BTLA/PTPN6/TNFSF8/IL7R/CTLA4/TNFSF4/TESPA1/FANCD2/CARD11/PTPRC/IL18/RASAL3/CORO1A/PTPN22/ICOS/IFNG/CSK/RAC2/TMEM131L/KLRK1/TBX21/RUNX3/CR1/ZAP70/CD2/PDCD1/TMIGD2/TNFSF9/SASH3/CD3E/CCDC88B/FOXN1/CD40LG/CD27/SIRPG/NFATC2/PAG1/CAMK4/IL12RB1/CD6/CD86/CD5/CLECL1/PTPN11/LAT/ITPKB/TIGIT/CD83/BTN2A2/EBI3/VAV1/RASGRP1/XCL1/CD70/LCK/NCKAP1L/GRAP2/TNFSF11/IL6/SPN/SIT1/YES1/LILRB1/RAC1/FANCA/SH3RF1/TNFRSF13C/IL10/CD28/ABL1/PRKAR1A/CCR7/PYCARD/ADAM8/GATA3/PRNP/VNN1/SYK/FOXP3/CD4/CASP3/HAVCR2/ERBB2/DUSP3/CCR2/SOCS6/HLA-DPB1/SIRPB1/EFNB2/IL2RA/TNFAIP8L2/VSIR/ZBTB1/CD300A/LAG3/LAX1/MALT1/CD47/ADA/FAM49B/IL7/CD160/ANXA1/IL23A/CLPTM1/SDC4/PLA2G2D/FCGR2B/NOD2/IL1RL2",113
"GO:1903037","regulation of leukocyte cell-cell adhesion","108/2027","304/18670",1.18132990697565e-30,1.42917292145914e-27,1.15919551503442e-27,"RIPOR2/DOCK8/MYB/BTLA/PTPN6/IL7R/CTLA4/TNFSF4/TESPA1/CARD11/PTPRC/IL18/RASAL3/CORO1A/TNF/PTPN22/ICOS/IFNG/CSK/TMEM131L/KLRK1/TBX21/RUNX3/ZAP70/PDCD1/TMIGD2/TNFSF9/SASH3/CD3E/CCDC88B/CD40LG/CD27/SIRPG/PAG1/IL12RB1/CD6/CD86/CD5/CLECL1/ITGA4/PTPN11/ITPKB/TIGIT/CD83/BTN2A2/SKAP1/ASS1/EBI3/VAV1/RASGRP1/XCL1/CD70/LCK/NCKAP1L/GRAP2/TNFSF11/IL6/SPN/YES1/ICAM1/LILRB1/RAC1/TNFRSF13C/IL10/CD28/ITGB2/PRKAR1A/CCR7/PYCARD/ADAM8/GATA3/PRNP/VNN1/SYK/FOXP3/CD4/CASP3/HAVCR2/ERBB2/DUSP3/CCR2/SOCS6/HLA-DPB1/SIRPB1/EFNB2/ADTRP/IL2RA/TNFAIP8L2/VSIR/ZBTB1/CD300A/LAG3/LAX1/PTAFR/MALT1/CD47/ADA/FAM49B/IL7/CD160/ANXA1/IL23A/SDC4/CCL25/PLA2G2D/FCGR2B/NOD2/IL1RL2",108
"GO:0051249","regulation of lymphocyte activation","138/2027","485/18670",1.77902367309026e-27,1.7935523664205e-24,1.4547419895217e-24,"RIPOR2/DOCK8/MYB/BTK/BTLA/INPP5D/BANK1/PTPN6/TNFSF8/CD22/CD19/IL7R/CTLA4/TNFSF4/TOX/TESPA1/FANCD2/CARD11/PTPRC/ATAD5/IL18/RASAL3/CORO1A/FCRL3/PTPN22/ICOS/IFNG/CSK/HLA-F/RAC2/TMEM131L/KLRK1/TBX21/RUNX3/CR1/ZAP70/CD2/PDCD1/TMIGD2/TNFSF9/SASH3/CD3E/CCDC88B/FOXN1/CD40LG/CD27/SIRPG/NFATC2/PAG1/CAMK4/TAC1/IL12RB1/SAMSN1/CD6/CD86/CD5/CLECL1/PTPN11/TNFRSF13B/LAT/ITPKB/TIGIT/CD83/BTN2A2/ATM/EBI3/VAV1/RASGRP1/XCL1/CD70/LCK/NCKAP1L/GRAP2/TNFSF11/IL6/SLAMF8/SPN/SIT1/YES1/LILRB1/IKZF3/RAC1/FANCA/GPR183/SH3RF1/TNFRSF13C/IL10/LAMP1/TNFAIP3/IGLL1/CD28/ABL1/PRKAR1A/CCR7/PYCARD/ADAM8/GATA3/LST1/PRNP/VNN1/SYK/GAL/FOXP3/CD4/SLA2/CASP3/HAVCR2/NFAM1/ERBB2/DUSP3/CCR2/SOCS6/HLA-DPB1/SIRPB1/EFNB2/IL2RA/TNFAIP8L2/VSIR/ZBTB1/CD300A/LAG3/LAX1/MALT1/CD47/ADA/FAM49B/SHLD3/IL7/CD160/ANXA1/IL23A/CLPTM1/SDC4/PLA2G2D/FCGR2B/NOD2/IL1RL2/IL27RA",138
"GO:0030217","T cell differentiation","89/2027","240/18670",5.1774254004623e-27,4.47403517819949e-24,3.62886914158718e-24,"CCR6/SLAMF6/MYB/TNFSF8/FUT7/TCF7/GPR18/IL7R/CTLA4/TNFSF4/RHOH/ITK/TESPA1/FANCD2/CARD11/PTPRC/IL18/PTPN22/IFNG/DOCK2/TMEM131L/PIK3CD/TBX21/CD3G/RUNX3/CR1/ZAP70/CD2/TNFSF9/SASH3/CD3E/FOXN1/CD27/NFATC2/CAMK4/BCL11B/LY9/IL12RB1/CD86/ITPKB/CD83/BTN2A2/VAV1/RASGRP1/STAT3/LCK/NCKAP1L/IL6/SPN/FANCA/GPR183/SH3RF1/CD3D/FZD8/CD28/THEMIS/ABL1/BATF/CCR7/RUNX2/EOMES/ADAM8/GATA3/VNN1/SYK/FOXP3/CD4/ERBB2/CD8A/CCR2/CCR9/BCL3/IL2RA/FZD5/VSIR/ZBTB1/TCIRG1/LAG3/MALT1/AIRE/ADA/IL7/B2M/ANXA1/IL23A/CLPTM1/PLA2G2D/CDK6/IL1RL2",89
"GO:1903039","positive regulation of leukocyte cell-cell adhesion","84/2027","218/18670",6.57266510441401e-27,4.96975640207504e-24,4.03094632258864e-24,"DOCK8/MYB/BTLA/PTPN6/IL7R/CTLA4/TNFSF4/TESPA1/CARD11/PTPRC/IL18/RASAL3/CORO1A/TNF/ICOS/IFNG/CSK/KLRK1/RUNX3/ZAP70/PDCD1/TMIGD2/TNFSF9/SASH3/CD3E/CCDC88B/CD40LG/CD27/SIRPG/IL12RB1/CD6/CD86/CD5/CLECL1/ITGA4/PTPN11/ITPKB/CD83/BTN2A2/SKAP1/EBI3/VAV1/RASGRP1/XCL1/CD70/LCK/NCKAP1L/GRAP2/TNFSF11/IL6/YES1/ICAM1/LILRB1/RAC1/TNFRSF13C/CD28/ITGB2/CCR7/PYCARD/ADAM8/GATA3/VNN1/SYK/FOXP3/CD4/HAVCR2/CCR2/HLA-DPB1/SIRPB1/EFNB2/IL2RA/VSIR/ZBTB1/PTAFR/MALT1/CD47/ADA/FAM49B/IL7/CD160/ANXA1/IL23A/NOD2/IL1RL2",84
"GO:0022407","regulation of cell-cell adhesion","119/2027","402/18670",1.82851053743744e-25,1.22896224899545e-22,9.9680556900537e-23,"RIPOR2/DOCK8/MYB/BTLA/PTPN6/IL7R/CTLA4/TNFSF4/AKNA/TESPA1/CARD11/PTPRC/IL18/RASAL3/CORO1A/FLOT1/TNF/PTPN22/ICOS/IFNG/CSK/TMEM131L/KLRK1/TBX21/RUNX3/ZAP70/PDCD1/TMIGD2/TNFSF9/SASH3/CD3E/CCDC88B/CD40LG/CD27/SIRPG/CXCL13/PAG1/IL12RB1/CD6/CD86/CD5/CLECL1/ITGA4/FXYD5/PTPN11/ITPKB/TIGIT/CD83/BTN2A2/SKAP1/ASS1/EBI3/VAV1/RASGRP1/XCL1/CD70/LCK/PTK2/NCKAP1L/GRAP2/TNFSF11/IL6/SPN/YES1/ICAM1/LILRB1/RAC1/TNFRSF13C/IL10/CD28/ITGB2/ABL1/PRKAR1A/CCR7/PYCARD/ADAM8/GATA3/PRNP/VNN1/SYK/FOXP3/CD4/FERMT3/CASP3/HAVCR2/ERBB2/DUSP3/CCR2/SOCS6/HLA-DPB1/SIRPB1/EFNB2/ADTRP/IL2RA/CD9/TNFAIP8L2/VSIR/ZBTB1/CD300A/LAG3/MYO10/LAX1/PTAFR/MALT1/CD47/ADA/FAM49B/IL7/ALOX12/CD160/ANXA1/IL23A/SDC4/CCL25/PLA2G2D/FCGR2B/NOD2/EPCAM/IL1RL2",119
"GO:0050870","positive regulation of T cell activation","78/2027","202/18670",3.80958322342896e-25,2.30441689185218e-22,1.86910183204235e-22,"DOCK8/MYB/BTLA/PTPN6/IL7R/CTLA4/TNFSF4/TESPA1/CARD11/PTPRC/IL18/RASAL3/CORO1A/ICOS/IFNG/CSK/KLRK1/RUNX3/ZAP70/PDCD1/TMIGD2/TNFSF9/SASH3/CD3E/CCDC88B/CD40LG/CD27/SIRPG/IL12RB1/CD6/CD86/CD5/CLECL1/PTPN11/ITPKB/CD83/BTN2A2/EBI3/VAV1/RASGRP1/XCL1/CD70/LCK/NCKAP1L/GRAP2/TNFSF11/IL6/YES1/LILRB1/RAC1/TNFRSF13C/CD28/CCR7/PYCARD/ADAM8/GATA3/VNN1/SYK/FOXP3/CD4/HAVCR2/CCR2/HLA-DPB1/SIRPB1/EFNB2/IL2RA/VSIR/ZBTB1/MALT1/CD47/ADA/FAM49B/IL7/CD160/ANXA1/IL23A/NOD2/IL1RL2",78
